iteration,q_PPPP,max_positive_conditional_regret
100,0.0,0.019407772
200,0.055,0.009805091
300,0.37,0.006536727
400,0.5275,0.0049025454
500,0.622,0.0039220364
600,0.685,0.0032683634
700,0.73,0.0028014544
800,0.76375,0.0024512727
900,0.79,0.002178909
1000,0.811,0.0019610182
1100,0.8281818,0.0017827437
1200,0.8425,0.0016341817
1300,0.8546154,0.0015084754
1400,0.865,0.0014007272
1500,0.874,0.0013073453
1600,0.881875,0.0012256363
1700,0.8888235,0.0011535401
1800,0.895,0.0010894545
1900,0.90052634,0.0010321147
2000,0.9055,9.805091E-4
2100,0.91,9.338181E-4
2200,0.91409093,8.9137186E-4
2300,0.9178261,8.5261656E-4
2400,0.92125,8.1709085E-4
2500,0.9244,7.8440725E-4
2600,0.92730767,7.542377E-4
2700,0.93,7.2630297E-4
2800,0.9325,7.003636E-4
2900,0.93482757,6.762131E-4
3000,0.937,6.536727E-4
3100,0.93903226,6.325865E-4
3200,0.9409375,6.1281817E-4
3300,0.94272727,5.942479E-4
3400,0.94441175,5.7677005E-4
3500,0.946,5.602909E-4
3600,0.9475,5.4472726E-4
3700,0.94891894,5.300049E-4
3800,0.95026314,5.1605736E-4
3900,0.95153844,5.0282513E-4
4000,0.95275,4.9025455E-4
4100,0.9539024,4.782971E-4
4200,0.955,4.6690906E-4
4300,0.9560465,4.560507E-4
4400,0.95704544,4.4568593E-4
4500,0.958,4.357818E-4
4600,0.958913,4.2630828E-4
4700,0.95978725,4.172379E-4
4800,0.960625,4.0854543E-4
4900,0.9614286,4.0020776E-4
5000,0.9622,3.9220363E-4
5100,0.96294117,3.8451335E-4
5200,0.96365386,3.7711885E-4
5300,0.9643396,3.700034E-4
5400,0.965,3.6315148E-4
5500,0.9656364,3.5654876E-4
5600,0.96625,3.501818E-4
5700,0.9668421,3.4403827E-4
5800,0.9674138,3.3810656E-4
5900,0.9679661,3.3237596E-4
6000,0.9685,3.2683634E-4
6100,0.9690164,3.2147838E-4
6200,0.96951616,3.1629324E-4
6300,0.97,3.112727E-4
6400,0.97046876,3.0640909E-4
6500,0.97092307,3.0169508E-4
6600,0.97136366,2.9712394E-4
6700,0.971791,2.9268928E-4
6800,0.9722059,2.8838502E-4
6900,0.9726087,2.842055E-4
7000,0.973,2.8014544E-4
7100,0.97338027,2.7619972E-4
7200,0.97375,2.7236363E-4
7300,0.9741096,2.686326E-4
7400,0.97445947,2.6500245E-4
7500,0.9748,2.6146907E-4
7600,0.9751316,2.5802868E-4
7700,0.97545457,2.5467767E-4
7800,0.9757692,2.5141257E-4
7900,0.97607595,2.4823015E-4
8000,0.976375,2.4512727E-4
8100,0.9766667,2.42101E-4
8200,0.97695124,2.3914855E-4
8300,0.97722894,2.3626724E-4
8400,0.9775,2.3345453E-4
8500,0.9777647,2.3070801E-4
8600,0.97802323,2.2802535E-4
8700,0.97827584,2.2540438E-4
8800,0.9785227,2.2284297E-4
8900,0.97876406,2.203391E-4
9000,0.979,2.178909E-4
9100,0.97923076,2.1549649E-4
9200,0.97945654,2.1315414E-4
9300,0.97967744,2.1086216E-4
9400,0.9798936,2.0861895E-4
9500,0.9801053,2.0642296E-4
9600,0.9803125,2.0427271E-4
9700,0.9805155,2.0216682E-4
9800,0.98071426,2.0010388E-4
9900,0.9809091,1.9808263E-4
10000,0.9811,1.9610181E-4
10100,0.9812871,1.9416021E-4
10200,0.9814706,1.9225667E-4
10300,0.9816505,1.903901E-4
10400,0.9818269,1.8855942E-4
10500,0.982,1.8676363E-4
10600,0.9821698,1.850017E-4
10700,0.98233646,1.8327271E-4
10800,0.9825,1.8157574E-4
10900,0.98266053,1.7990991E-4
11000,0.9828182,1.7827438E-4
11100,0.982973,1.766683E-4
11200,0.983125,1.750909E-4
11300,0.98327434,1.7354143E-4
11400,0.983421,1.7201914E-4
11500,0.9835652,1.7052332E-4
11600,0.9837069,1.6905328E-4
11700,0.9838461,1.6760838E-4
11800,0.98398304,1.6618798E-4
11900,0.9841176,1.6479143E-4
12000,0.98425,1.6341817E-4
12100,0.9843802,1.620676E-4
12200,0.9845082,1.6073919E-4
12300,0.98463416,1.5943237E-4
12400,0.9847581,1.5814662E-4
12500,0.98488,1.5688145E-4
12600,0.985,1.5563636E-4
12700,0.9851181,1.5441087E-4
12800,0.9852344,1.5320454E-4
12900,0.9853488,1.520169E-4
13000,0.98546153,1.5084754E-4
13100,0.9855725,1.4969603E-4
13200,0.98568183,1.4856197E-4
13300,0.9857895,1.4744497E-4
13400,0.9858955,1.4634464E-4
13500,0.986,1.452606E-4
13600,0.98610294,1.4419251E-4
13700,0.9862044,1.4314E-4
13800,0.98630434,1.4210276E-4
13900,0.98640287,1.4108044E-4
14000,0.9865,1.4007272E-4
14100,0.98659575,1.390793E-4
14200,0.98669016,1.3809986E-4
14300,0.9867832,1.3713414E-4
14400,0.986875,1.3618181E-4
14500,0.98696554,1.3524263E-4
14600,0.98705477,1.343163E-4
14700,0.98714286,1.3340259E-4
14800,0.9872297,1.3250123E-4
14900,0.9873154,1.3161195E-4
15000,0.9874,1.3073454E-4
15100,0.98748344,1.2986874E-4
15200,0.9875658,1.2901434E-4
15300,0.98764706,1.2817112E-4
15400,0.9877273,1.2733883E-4
15500,0.98780644,1.2651729E-4
